1,655,67
2,655,93
3,918,103
4,888,133
5,655,119
6,863,158
7,394,164
8,360,130
9,837,184
10,428,198
11,812,209
12,655,171
13,787,234
14,461,231
15,655,197
16,767,255
17,621,225
18,746,275
19,638,242
20,655,259
21,495,265
22,655,307
23,528,299
24,598,309
25,569,340
26,691,330
27,625,336
28,655,361
29,596,367
30,635,406
31,552,406
32,596,446
33,675,446
34,512,407
35,285,314
36,271,300
37,300,329
38,313,341
39,327,355
40,262,294
41,472,408
42,247,292
43,340,368
44,552,490
45,353,382
46,367,395
47,390,407
48,222,299
49,195,327
50,209,313
51,432,408
52,526,515
53,446,450
54,334,393
55,188,334
56,322,380
57,359,432
58,297,367
59,181,341
60,701,525
61,273,381
62,445,480
63,261,393
64,504,538
65,344,446
66,175,348
67,168,354
68,247,407
69,103,408
70,435,493
71,154,368
72,115,403
73,233,421
74,218,436
75,127,395
76,203,451
77,189,465
78,140,381
79,423,505
80,175,479
81,160,493
82,479,562
83,137,506
84,410,518
85,300,490
86,285,504
87,398,530
88,386,542
89,373,555
90,329,461
91,315,475
92,361,567
93,455,587
94,701,565
95,349,579
96,336,592
97,425,617
98,701,604
99,394,648
100,665,696
101,364,678
102,333,708
103,663,715
104,664,733
105,664,750
106,664,781
107,654,800
108,634,800
109,614,800
110,593,800
111,572,800
112,552,800
113,271,519
114,257,533
115,242,548
116,227,562
117,213,577
118,198,591
119,175,603
120,764,715
121,791,742
122,818,768
123,836,795
124,836,836
